Order Date;Channel;Store;Country;Continent;Colour;Product;Product Subcategory;Product Category;Quantity;Unit Cost;Unit Price
39636;Reseller;Contoso North America Reseller;United States;North America;Silver;Contoso 2G MP3 Player E200 Silver;MP4&MP3;Audio;12;11;21,57
39666;Store;Contoso Madison Store;United States;North America;Red;Contoso 2G MP3 Player E200 Red;MP4&MP3;Audio;12;11;21,57
40105;Online;Contoso North America Online Store;United States;North America;Red;Contoso 2G MP3 Player E200 Red;MP4&MP3;Audio;20;11;21,57
39395;Store;Contoso Singapore Store;Singapore;Asia;Red;Contoso 2G MP3 Player E200 Red;MP4&MP3;Audio;6;11;21,57
39557;Store;Contoso Bayonne Store;United States;North America;Red;Contoso 2G MP3 Player E200 Red;MP4&MP3;Audio;10;11;21,57
39396;Store;Contoso Nice Store;France;Europe;Black;Contoso 2G MP3 Player E200 Black;MP4&MP3;Audio;4;11;21,57
39558;Reseller;Contoso North America Reseller;United States;North America;Black;Contoso 2G MP3 Player E200 Black;MP4&MP3;Audio;20;11;21,57
39095;Online;Contoso Europe Online Store;Germany;Europe;Black;Contoso 2G MP3 Player E200 Black;MP4&MP3;Audio;4;11;21,57
39222;Store;Contoso Bellevue Store;United States;North America;Black;Contoso 2G MP3 Player E200 Black;MP4&MP3;Audio;5;11;21,57
39446;Store;Contoso New Bedford Store;United States;North America;Black;Contoso 2G MP3 Player E200 Black;MP4&MP3;Audio;6;11;21,57
39423;Store;Contoso Litchfield County Store;United States;North America;Black;Contoso 2G MP3 Player E200 Black;MP4&MP3;Audio;6;11;21,57
39364;Store;Contoso Plattsburgh Store;United States;North America;Black;Contoso 2G MP3 Player E200 Black;MP4&MP3;Audio;5;11;21,57
39203;Store;Contoso Warsaw Store;Poland ;Europe;Black;Contoso 2G MP3 Player E200 Black;MP4&MP3;Audio;10;11;21,57
39794;Store;Contoso Back River Store;United States;North America;Black;Contoso 2G MP3 Player E200 Black;MP4&MP3;Audio;13;11;21,57
39889;Store;Contoso Bayonne Store;United States;North America;Blue;Contoso 2G MP3 Player E200 Blue;MP4&MP3;Audio;18;11;21,57
39126;Store;Contoso Hong Kong No.1 Store;China;Asia;Blue;Contoso 2G MP3 Player E200 Blue;MP4&MP3;Audio;4;11;21,57
39589;Reseller;Contoso Europe Reseller;France;Europe;Blue;Contoso 2G MP3 Player E200 Blue;MP4&MP3;Audio;10;11;21,57
39214;Store;Contoso Lowell Store;United States;North America;Blue;Contoso 2G MP3 Player E200 Blue;MP4&MP3;Audio;5;11;21,57
40009;Reseller;Contoso Asia Reseller;China;Asia;Blue;Contoso 2G MP3 Player E200 Blue;MP4&MP3;Audio;24;11;21,57
39548;Online;Contoso Europe Online Store;Germany;Europe;Blue;Contoso 2G MP3 Player E200 Blue;MP4&MP3;Audio;24;11;21,57
39597;Store;Contoso Montclair Store;United States;North America;Silver;Contoso 4G MP3 Player E400 Silver;MP4&MP3;Audio;10;30,58;59,99
40073;Store;Contoso Ramstein Store;Germany ;Europe;Silver;Contoso 4G MP3 Player E400 Silver;MP4&MP3;Audio;18;30,58;59,99
39388;Online;Contoso Europe Online Store;Germany;Europe;Silver;Contoso 4G MP3 Player E400 Silver;MP4&MP3;Audio;12;30,58;59,99
39507;Online;Contoso Asia Online Store;China;Asia;Silver;Contoso 4G MP3 Player E400 Silver;MP4&MP3;Audio;18;30,58;59,99
39715;Online;Contoso North America Online Store;United States;North America;Silver;Contoso 4G MP3 Player E400 Silver;MP4&MP3;Audio;12;30,58;59,99
39231;Catalog;Contoso Catalog Store;United States;North America;Black;Contoso 4G MP3 Player E400 Black;MP4&MP3;Audio;10;30,58;59,99
39810;Store;Contoso Amsterdam Store;the Netherlands;Europe;Black;Contoso 4G MP3 Player E400 Black;MP4&MP3;Audio;8;30,58;59,99
39582;Store;Contoso Bar Harbor Store;United States;North America;Black;Contoso 4G MP3 Player E400 Black;MP4&MP3;Audio;10;30,58;59,99
39263;Store;Contoso Boston Store;United States;North America;Black;Contoso 4G MP3 Player E400 Black;MP4&MP3;Audio;5;30,58;59,99
39248;Online;Contoso North America Online Store;United States;North America;Black;Contoso 4G MP3 Player E400 Black;MP4&MP3;Audio;5;30,58;59,99
39209;Store;Contoso Desoto Store;United States;North America;Black;Contoso 4G MP3 Player E400 Black;MP4&MP3;Audio;5;30,58;59,99
39199;Store;Contoso Spokane Store;United States;North America;Black;Contoso 4G MP3 Player E400 Black;MP4&MP3;Audio;5;30,58;59,99
39297;Store;Contoso Snoqualmie Store;United States;North America;Green;Contoso 4G MP3 Player E400 Green;MP4&MP3;Audio;6;30,58;59,99
39710;Store;Contoso Lowell Store;United States;North America;Green;Contoso 4G MP3 Player E400 Green;MP4&MP3;Audio;12;30,58;59,99
39692;Store;Contoso Jersey City Store;United States;North America;Green;Contoso 4G MP3 Player E400 Green;MP4&MP3;Audio;12;30,58;59,99
39226;Online;Contoso Asia Online Store;China;Asia;Green;Contoso 4G MP3 Player E400 Green;MP4&MP3;Audio;6;30,58;59,99
39300;Store;Contoso York Store;United Kingdom;Europe;Orange;Contoso 4G MP3 Player E400 Orange;MP4&MP3;Audio;4;30,58;59,99
39249;Store;Contoso Humble Store;United States;North America;Orange;Contoso 4G MP3 Player E400 Orange;MP4&MP3;Audio;5;30,58;59,99
39756;Store;Contoso Madison Store;United States;North America;Orange;Contoso 4G MP3 Player E400 Orange;MP4&MP3;Audio;13;30,58;59,99
40072;Online;Contoso Asia Online Store;China;Asia;Orange;Contoso 4G MP3 Player E400 Orange;MP4&MP3;Audio;40;30,58;59,99
40130;Store;Contoso Bar Harbor Store;United States;North America;Orange;Contoso 4G MP3 Player E400 Orange;MP4&MP3;Audio;26;30,58;59,99
39546;Store;Contoso Cheney Store;United States;North America;Orange;Contoso 4G MP3 Player E400 Orange;MP4&MP3;Audio;10;30,58;59,99
39198;Store;Contoso Baytown Store;United States;North America;Orange;Contoso 4G MP3 Player E400 Orange;MP4&MP3;Audio;5;30,58;59,99
39821;Reseller;Contoso North America Reseller;United States;North America;Blue;Contoso 4GB Flash MP3 Player E401 Blue;MP4&MP3;Audio;18;35,72;77,68
39912;Store;Contoso Green Bay Store;United States;North America;Blue;Contoso 4GB Flash MP3 Player E401 Blue;MP4&MP3;Audio;20;35,72;77,68
39797;Online;Contoso Europe Online Store;Germany;Europe;Blue;Contoso 4GB Flash MP3 Player E401 Blue;MP4&MP3;Audio;8;35,72;77,68
39978;Online;Contoso Asia Online Store;China;Asia;Blue;Contoso 4GB Flash MP3 Player E401 Blue;MP4&MP3;Audio;24;35,72;77,68
40088;Online;Contoso North America Online Store;United States;North America;Blue;Contoso 4GB Flash MP3 Player E401 Blue;MP4&MP3;Audio;20;35,72;77,68
39455;Store;Contoso Aurora Store;United States;North America;Blue;Contoso 4GB Flash MP3 Player E401 Blue;MP4&MP3;Audio;9;35,72;77,68
39416;Store;Contoso Cheney Store;United States;North America;Blue;Contoso 4GB Flash MP3 Player E401 Blue;MP4&MP3;Audio;6;35,72;77,68
39337;Store;Contoso Carlisle Store;United Kingdom;Europe;Black;Contoso 4GB Flash MP3 Player E401 Black;MP4&MP3;Audio;4;35,72;77,68
39688;Store;Contoso Anchorage Store;United States;North America;Black;Contoso 4GB Flash MP3 Player E401 Black;MP4&MP3;Audio;12;35,72;77,68
40010;Store;Contoso Osaka No.2 Store;Japan;Asia;Silver;Contoso 4GB Flash MP3 Player E401 Silver;MP4&MP3;Audio;24;35,72;77,68
39450;Store;Contoso Renton Store;United States;North America;Silver;Contoso 4GB Flash MP3 Player E401 Silver;MP4&MP3;Audio;9;35,72;77,68
39359;Store;Contoso Round Rock Store;United States;North America;Silver;Contoso 4GB Flash MP3 Player E401 Silver;MP4&MP3;Audio;5;35,72;77,68
39630;Reseller;Contoso North America Reseller;United States;North America;White;Contoso 4GB Flash MP3 Player E401 White;MP4&MP3;Audio;12;35,72;77,68
39280;Store;Contoso Queens Store;United States;North America;White;Contoso 4GB Flash MP3 Player E401 White;MP4&MP3;Audio;6;35,72;77,68
39774;Store;Contoso Bayonne Store;United States;North America;White;Contoso 4GB Flash MP3 Player E401 White;MP4&MP3;Audio;13;35,72;77,68
39845;Store;Contoso Hong Kong No.2 Store;China;Asia;White;Contoso 8GB Super-Slim MP3/Video Player M800 White;MP4&MP3;Audio;9;50,56;109,95
39890;Store;Contoso La Porte Store;United States;North America;White;Contoso 8GB Super-Slim MP3/Video Player M800 White;MP4&MP3;Audio;9;50,56;109,95
39490;Reseller;Contoso Asia Reseller;China;Asia;Red;Contoso 8GB Super-Slim MP3/Video Player M800 Red;MP4&MP3;Audio;9;50,56;109,95
39825;Online;Contoso Asia Online Store;China;Asia;Red;Contoso 8GB Super-Slim MP3/Video Player M800 Red;MP4&MP3;Audio;26;50,56;109,95
39507;Online;Contoso North America Online Store;United States;North America;Red;Contoso 8GB Super-Slim MP3/Video Player M800 Red;MP4&MP3;Audio;9;50,56;109,95
40073;Store;Contoso Busan Store;South Korea;Asia;Green;Contoso 8GB Super-Slim MP3/Video Player M800 Green;MP4&MP3;Audio;10;50,56;109,95
39584;Reseller;Contoso Asia Reseller;China;Asia;Pink;Contoso 8GB Super-Slim MP3/Video Player M800 Pink;MP4&MP3;Audio;24;50,56;109,95
39830;Store;Contoso Tehran No.1 Store;Iran;Asia;Pink;Contoso 8GB Super-Slim MP3/Video Player M800 Pink;MP4&MP3;Audio;13;50,56;109,95
39718;Reseller;Contoso North America Reseller;United States;North America;Black;Contoso 8GB MP3 Player new model M820 Black;MP4&MP3;Audio;24;61,62;134
39687;Store;Contoso Yerevan Store;Armenia;Asia;Black;Contoso 8GB MP3 Player new model M820 Black;MP4&MP3;Audio;10;61,62;134
40174;Online;Contoso North America Online Store;United States;North America;Yellow;Contoso 8GB MP3 Player new model M820 Yellow;MP4&MP3;Audio;13;61,62;134
39789;Store;Contoso Giebelstadt Store;Germany ;Europe;Yellow;Contoso 8GB MP3 Player new model M820 Yellow;MP4&MP3;Audio;16;61,62;134
39641;Store;Contoso Damascus No.1 Store;Syria;Asia;Yellow;Contoso 8GB MP3 Player new model M820 Yellow;MP4&MP3;Audio;12;61,62;134
39629;Store;Contoso Ottawa No.2 Store;Canada;North America;White;Contoso 8GB MP3 Player new model M820 White;MP4&MP3;Audio;10;61,62;134
40170;Store;Contoso Miami No.2 Store;United States;North America;White;Contoso 8GB MP3 Player new model M820 White;MP4&MP3;Audio;13;61,62;134
39576;Online;Contoso North America Online Store;United States;North America;White;Contoso 8GB MP3 Player new model M820 White;MP4&MP3;Audio;10;61,62;134
39754;Catalog;Contoso Catalog Store;United States;North America;White;Contoso 8GB MP3 Player new model M820 White;MP4&MP3;Audio;13;61,62;134
39944;Store;Contoso West Yorkshire Store;United Kingdom;Europe;White;Contoso 8GB MP3 Player new model M820 White;MP4&MP3;Audio;10;61,62;134
39944;Store;Contoso Charlottesville Store;United States;North America;White;Contoso 8GB MP3 Player new model M820 White;MP4&MP3;Audio;10;61,62;134
39973;Reseller;Contoso Europe Reseller;France;Europe;White;Contoso 8GB MP3 Player new model M820 White;MP4&MP3;Audio;10;61,62;134
39920;Store;Contoso Oshkosh Store;United States;North America;Blue;Contoso 16GB Mp5 Player M1600 Blue;MP4&MP3;Audio;10;91,93;199,9
40010;Catalog;Contoso Catalog Store;United States;North America;White;Contoso 32GB Video MP3 Player M3200 White;MP4&MP3;Audio;12;84,49;255
40135;Store;Contoso Hoboken Store;United States;North America;White;Contoso 32GB Video MP3 Player M3200 White;MP4&MP3;Audio;26;84,49;255
39691;Store;Contoso Nagoya Store;Japan;Asia;Red;Contoso 32GB Video MP3 Player M3200 Red;MP4&MP3;Audio;10;84,49;255
39618;Store;Contoso Cape May Store;United States;North America;Red;Contoso 32GB Video MP3 Player M3200 Red;MP4&MP3;Audio;10;84,49;255
39625;Store;Contoso Shanghai No.1 Store;China;Asia;Orange;Contoso 32GB Video MP3 Player M3200 Orange;MP4&MP3;Audio;12;84,49;255
40031;Online;Contoso Europe Online Store;Germany;Europe;Orange;Contoso 32GB Video MP3 Player M3200 Orange;MP4&MP3;Audio;9;84,49;255
39710;Store;Contoso Alexandria Store;United States;North America;Pink;Contoso 32GB Video MP3 Player M3200 Pink;MP4&MP3;Audio;12;84,49;255
39732;Reseller;Contoso North America Reseller;United States;North America;Pink;Contoso 32GB Video MP3 Player M3200 Pink;MP4&MP3;Audio;10;84,49;255
39653;Reseller;Contoso Asia Reseller;China;Asia;Pink;Contoso 32GB Video MP3 Player M3200 Pink;MP4&MP3;Audio;24;84,49;255
39741;Online;Contoso Asia Online Store;China;Asia;Black;Contoso 32GB Video MP3 Player M3200 Black;MP4&MP3;Audio;20;84,49;255
39900;Store;Contoso Lakeland Store;United States;North America;Black;Contoso 4GB Portable MP3 Player M450 Black;MP4&MP3;Audio;9;48,92;95,95
39642;Online;Contoso Europe Online Store;Germany;Europe;Black;Contoso 4GB Portable MP3 Player M450 Black;MP4&MP3;Audio;10;48,92;95,95
39611;Store;Contoso Pittsfield Store;United States;North America;White;Contoso 4GB Portable MP3 Player M450 White;MP4&MP3;Audio;10;48,92;95,95
39608;Store;Contoso Fredericksburg Store;United States;North America;White;Contoso 4GB Portable MP3 Player M450 White;MP4&MP3;Audio;10;48,92;95,95
39547;Reseller;Contoso North America Reseller;United States;North America;White;Contoso 4GB Portable MP3 Player M450 White;MP4&MP3;Audio;20;48,92;95,95
39445;Store;Contoso Quincy Store;United States;North America;White;Contoso 4GB Portable MP3 Player M450 White;MP4&MP3;Audio;13;48,92;95,95
39641;Online;Contoso Asia Online Store;China;Asia;Yellow;Contoso 4GB Portable MP3 Player M450 Yellow;MP4&MP3;Audio;24;48,92;95,95
39547;Store;Contoso Singapore Store;Singapore;Asia;Yellow;Contoso 4GB Portable MP3 Player M450 Yellow;MP4&MP3;Audio;9;48,92;95,95
39627;Store;Contoso Attleboro Store;United States;North America;Yellow;Contoso 4GB Portable MP3 Player M450 Yellow;MP4&MP3;Audio;10;48,92;95,95
39824;Store;Contoso Nagoya Store;Japan;Asia;Yellow;Contoso 4GB Portable MP3 Player M450 Yellow;MP4&MP3;Audio;13;48,92;95,95
39673;Store;Contoso Greeley No.2 Store;United States;North America;Yellow;Contoso 4GB Portable MP3 Player M450 Yellow;MP4&MP3;Audio;12;48,92;95,95
39447;Store;Contoso Ramstein Store;Germany ;Europe;Yellow;Contoso 4GB Portable MP3 Player M450 Yellow;MP4&MP3;Audio;8;48,92;95,95
39343;Online;Contoso Asia Online Store;China;Asia;Silver;Contoso 8GB Clock & Radio MP3 Player X850 Silver;MP4&MP3;Audio;10;99,14;299,23
39124;Store;Contoso Queen Anne's County Store;United States;North America;Silver;Contoso 8GB Clock & Radio MP3 Player X850 Silver;MP4&MP3;Audio;9;99,14;299,23
39957;Store;Contoso Stockport Store;United Kingdom;Europe;Silver;Contoso 8GB Clock & Radio MP3 Player X850 Silver;MP4&MP3;Audio;10;99,14;299,23
39425;Catalog;Contoso Catalog Store;United States;North America;Black;Contoso 8GB Clock & Radio MP3 Player X850 Black;MP4&MP3;Audio;13;99,14;299,23
39362;Reseller;Contoso Asia Reseller;China;Asia;Black;Contoso 8GB Clock & Radio MP3 Player X850 Black;MP4&MP3;Audio;10;99,14;299,23
39395;Store;Contoso San Antonio Store;United States;North America;Black;Contoso 8GB Clock & Radio MP3 Player X850 Black;MP4&MP3;Audio;13;99,14;299,23
39118;Online;Contoso North America Online Store;United States;North America;Black;Contoso 8GB Clock & Radio MP3 Player X850 Black;MP4&MP3;Audio;9;99,14;299,23
39331;Store;Contoso Grand Junction Store;United States;North America;Black;Contoso 8GB Clock & Radio MP3 Player X850 Black;MP4&MP3;Audio;12;99,14;299,23
39315;Online;Contoso North America Online Store;United States;North America;Black;Contoso 8GB Clock & Radio MP3 Player X850 Black;MP4&MP3;Audio;12;99,14;299,23
39217;Store;Contoso Bucharest Store;Romania ;Europe;Green;Contoso 8GB Clock & Radio MP3 Player X850 Green;MP4&MP3;Audio;10;99,14;299,23
39644;Online;Contoso Asia Online Store;China;Asia;Green;Contoso 8GB Clock & Radio MP3 Player X850 Green;MP4&MP3;Audio;12;99,14;299,23
39229;Store;Contoso koln No.2 Store;Germany ;Europe;Green;Contoso 8GB Clock & Radio MP3 Player X850 Green;MP4&MP3;Audio;10;99,14;299,23
39882;Store;Contoso Sedalia Store;United States;North America;Green;Contoso 8GB Clock & Radio MP3 Player X850 Green;MP4&MP3;Audio;9;99,14;299,23
39920;Store;Contoso Newark No.2 Store;United States;North America;Green;Contoso 8GB Clock & Radio MP3 Player X850 Green;MP4&MP3;Audio;10;99,14;299,23
39169;Reseller;Contoso North America Reseller;United States;North America;Green;Contoso 8GB Clock & Radio MP3 Player X850 Green;MP4&MP3;Audio;18;99,14;299,23
39108;Store;Contoso Hartford Store;United States;North America;Green;Contoso 8GB Clock & Radio MP3 Player X850 Green;MP4&MP3;Audio;9;99,14;299,23
39929;Store;Contoso Baltimore Store;United States;North America;Green;Contoso 8GB Clock & Radio MP3 Player X850 Green;MP4&MP3;Audio;10;99,14;299,23
39502;Reseller;Contoso Europe Reseller;France;Europe;Blue;Contoso 8GB Clock & Radio MP3 Player X850 Blue;MP4&MP3;Audio;24;99,14;299,23
39359;Store;Contoso North Harford Store;United States;North America;Blue;Contoso 8GB Clock & Radio MP3 Player X850 Blue;MP4&MP3;Audio;10;99,14;299,23
39288;Store;Contoso Milan Store;Italy    ;Europe;Blue;Contoso 8GB Clock & Radio MP3 Player X850 Blue;MP4&MP3;Audio;10;99,14;299,23
39145;Store;Contoso Houston No.4 Store;United States;North America;Blue;Contoso 8GB Clock & Radio MP3 Player X850 Blue;MP4&MP3;Audio;9;99,14;299,23
39649;Online;Contoso North America Online Store;United States;North America;Blue;Contoso 8GB Clock & Radio MP3 Player X850 Blue;MP4&MP3;Audio;24;99,14;299,23
39363;Store;Contoso Charlottesville Store;United States;North America;Blue;Contoso 8GB Clock & Radio MP3 Player X850 Blue;MP4&MP3;Audio;10;99,14;299,23
40166;Online;Contoso Europe Online Store;Germany;Europe;Silver;Contoso 16GB New Generation MP5 Player M1650 Silver;MP4&MP3;Audio;16;106,69;232
40110;Online;Contoso Europe Online Store;Germany;Europe;White;Contoso 16GB New Generation MP5 Player M1650 White;MP4&MP3;Audio;16;106,69;232
40168;Store;Contoso Bucharest Store;Romania ;Europe;Pink;Contoso 16GB New Generation MP5 Player M1650 Pink;MP4&MP3;Audio;8;106,69;232
40014;Store;Contoso Green Bay Store;United States;North America;Pink;Contoso 16GB New Generation MP5 Player M1650 Pink;MP4&MP3;Audio;12;106,69;232
39250;Store;Contoso Ottawa No.2 Store;Canada;North America;White;WWI 1GB Pulse Smart pen E50 White;Recording Pen;Audio;5;76,45;149,95
39895;Online;Contoso North America Online Store;United States;North America;White;WWI 1GB Pulse Smart pen E50 White;Recording Pen;Audio;54;76,45;149,95
39248;Store;Contoso New York No.1 Store;United States;North America;White;WWI 1GB Pulse Smart pen E50 White;Recording Pen;Audio;5;76,45;149,95
39503;Store;Contoso New Brunswick Store;United States;North America;Black;WWI 1GBPulse Smart pen E50 Black;Recording Pen;Audio;9;76,45;149,95
39090;Store;Contoso Burlington Store;United States;North America;Black;WWI 1GBPulse Smart pen E50 Black;Recording Pen;Audio;4;76,45;149,95
39411;Reseller;Contoso North America Reseller;United States;North America;Black;WWI 1GBPulse Smart pen E50 Black;Recording Pen;Audio;12;76,45;149,95
40022;Store;Contoso Alexandria Store;United States;North America;Black;WWI 1GBPulse Smart pen E50 Black;Recording Pen;Audio;24;76,45;149,95
39245;Online;Contoso Asia Online Store;China;Asia;Black;WWI 1GBPulse Smart pen E50 Black;Recording Pen;Audio;6;76,45;149,95
40145;Store;Contoso Tokyo No.1 Store;Japan;Asia;Black;WWI 1GBPulse Smart pen E50 Black;Recording Pen;Audio;26;76,45;149,95
39402;Reseller;Contoso Europe Reseller;France;Europe;Silver;WWI 1GB Pulse Smart pen E50 Silver;Recording Pen;Audio;8;76,45;149,95
40071;Store;Contoso Islamabad  No.2 Store;Pakistan;Asia;Silver;WWI 1GB Pulse Smart pen E50 Silver;Recording Pen;Audio;20;76,45;149,95
39931;Store;Contoso Queens Store;United States;North America;White;WWI 2GB Pulse Smart pen M100 White;Recording Pen;Audio;10;91,95;199,95
39238;Store;Contoso Denton Store;United States;North America;White;WWI 2GB Pulse Smart pen M100 White;Recording Pen;Audio;10;91,95;199,95
40135;Store;Contoso Islamabad  No.2 Store;Pakistan;Asia;White;WWI 2GB Pulse Smart pen M100 White;Recording Pen;Audio;13;91,95;199,95
39805;Store;Contoso Manitowoc Store;United States;North America;White;WWI 2GB Pulse Smart pen M100 White;Recording Pen;Audio;26;91,95;199,95
39386;Store;Contoso Bacliff Store;United States;North America;White;WWI 2GB Pulse Smart pen M100 White;Recording Pen;Audio;10;91,95;199,95
39909;Reseller;Contoso North America Reseller;United States;North America;White;WWI 2GB Pulse Smart pen M100 White;Recording Pen;Audio;10;91,95;199,95
39880;Reseller;Contoso North America Reseller;United States;North America;Black;WWI 2GB Pulse Smart pen M100 Black;Recording Pen;Audio;9;91,95;199,95
39815;Reseller;Contoso North America Reseller;United States;North America;Black;WWI 2GB Pulse Smart pen M100 Black;Recording Pen;Audio;9;91,95;199,95
39154;Store;Contoso Ramstein Store;Germany ;Europe;Black;WWI 2GB Pulse Smart pen M100 Black;Recording Pen;Audio;12;91,95;199,95
39972;Online;Contoso Asia Online Store;China;Asia;Black;WWI 2GB Pulse Smart pen M100 Black;Recording Pen;Audio;12;91,95;199,95
39689;Reseller;Contoso North America Reseller;United States;North America;Black;WWI 2GB Pulse Smart pen M100 Black;Recording Pen;Audio;24;91,95;199,95
39406;Online;Contoso Asia Online Store;China;Asia;Black;WWI 2GB Pulse Smart pen M100 Black;Recording Pen;Audio;26;91,95;199,95
39204;Store;Contoso Denver No.3 Store;United States;North America;Black;WWI 2GB Pulse Smart pen M100 Black;Recording Pen;Audio;10;91,95;199,95
40160;Online;Contoso Asia Online Store;China;Asia;Blue;WWI 2GB Pulse Smart pen M100 Blue;Recording Pen;Audio;26;91,95;199,95
40032;Store;Contoso Martinsville Store;United States;North America;Blue;WWI 2GB Pulse Smart pen M100 Blue;Recording Pen;Audio;12;91,95;199,95
39820;Store;Contoso Cambridge Store;United Kingdom;Europe;Blue;WWI 2GB Pulse Smart pen M100 Blue;Recording Pen;Audio;9;91,95;199,95
39394;Store;Contoso Falmouth Store;United States;North America;Silver;WWI 2GB Pulse Smart pen M100 Silver;Recording Pen;Audio;13;91,95;199,95
40130;Store;Contoso Baytown Store;United States;North America;Silver;WWI 2GB Pulse Smart pen M100 Silver;Recording Pen;Audio;13;91,95;199,95
39325;Reseller;Contoso Asia Reseller;China;Asia;Silver;WWI 2GB Pulse Smart pen M100 Silver;Recording Pen;Audio;10;91,95;199,95
40015;Store;Contoso Islamabad  No.2 Store;Pakistan;Asia;Silver;WWI 2GB Pulse Smart pen M100 Silver;Recording Pen;Audio;12;91,95;199,95
39393;Reseller;Contoso North America Reseller;United States;North America;Silver;WWI 2GB Pulse Smart pen M100 Silver;Recording Pen;Audio;26;91,95;199,95
39348;Reseller;Contoso Asia Reseller;China;Asia;Silver;WWI 2GB Pulse Smart pen M100 Silver;Recording Pen;Audio;10;91,95;199,95
39187;Store;Contoso Hong Kong No.1 Store;China;Asia;Silver;WWI 2GB Pulse Smart pen M100 Silver;Recording Pen;Audio;9;91,95;199,95
39588;Store;Contoso koln No.2 Store;Germany ;Europe;Silver;WWI 2GB Pulse Smart pen M100 Silver;Recording Pen;Audio;10;91,95;199,95
39806;Online;Contoso Europe Online Store;Germany;Europe;Silver;WWI 2GB Pulse Smart pen M100 Silver;Recording Pen;Audio;8;91,95;199,95
40122;Store;Contoso Firenze Store;Italy    ;Europe;Silver;WWI 2GB Pulse Smart pen M100 Silver;Recording Pen;Audio;8;91,95;199,95
39748;Store;Contoso Worcester No.1 Store;United States;North America;Black;WWI 4GB Video Recording Pen X200 Black;Recording Pen;Audio;10;98,07;296
39989;Store;Contoso Orono Store;United States;North America;Red;WWI 4GB Video Recording Pen X200 Red;Recording Pen;Audio;10;98,07;296
39630;Store;Contoso Milliken Store;United States;North America;Red;WWI 4GB Video Recording Pen X200 Red;Recording Pen;Audio;12;98,07;296
39998;Online;Contoso Asia Online Store;China;Asia;Red;WWI 4GB Video Recording Pen X200 Red;Recording Pen;Audio;6;98,07;296
39973;Store;Contoso Fort Lauderdale Store;United States;North America;Red;WWI 4GB Video Recording Pen X200 Red;Recording Pen;Audio;10;98,07;296
